x1,y1,x2,y2,x3,y3,,55,55,55
2.95,28,2.35,13,5.94,17,,1000,28,0.028
3.65,32,4.22,22,9.25,40,,28,32,0.032
4.55,38,5.76,32,12.23,69,,,38,0.038
6.33,53,6.44,36,13.79,81,,,53,0.053
7.18,60,8.58,55,15.3,93,,,60,0.06
8.24,68,9.71,64,16.33,101,,,68,0.068
9.94,81,11.42,77,18.22,116,,,81,0.081
11.37,91,13.88,96,20.41,126,,,91,0.091
13.52,107,16.02,114,20.57,127,,,107,0.107
15.17,118,17.61,125,22.76,119,,,118,0.118
16.61,128,19.34,135,23.36,105,,,128,0.128
18.05,137,19.97,137,23.59,100,,,137,0.137
18.77,141,20.62,136,23.86,41,,,141,0.141
19.83,142,21.31,134,23.94,39,,,142,0.142
20.42,140,22.67,117,24.44,28,,,140,0.14
20.82,137,23.3,88,25.69,15,,,137,0.137
21.53,131,23.79,41,26.49,12,,,131,0.131
22.14,123,24.24,35,27.52,14,,,123,0.123
23.01,77,25.08,33,28.95,23,,,77,0.077
23.61,65,25.62,35,30.29,36,,,65,0.065
24.81,67,27.82,54,32.5,71,,,67,0.067
26.38,87,29.46,78,33.9,92,,,87,0.087
27.82,108,30.66,96,35.24,109,,,108,0.108
28.77,121,32.06,115,37.53,119,,,121,0.121
29.56,131,33.96,140,38.47,121,,,131,0.131
30.66,145,35.29,155,40.07,112,,,145,0.145
31.25,153,37.06,161,41.9,101,,,153,0.153
32.58,168,38.42,162,44.07,89,,,168,0.168
32.74,171,39.33,158,46.83,71,,,171,0.171
34.12,187,41.96,138,48.95,62,,,187,0.187
35.54,200,44.39,122,51.06,59,,,200,0.2
36.29,202,46.13,114,52.86,63,,,202,0.202
37.18,201,47.8,110,55.36,75,,,201,0.201
37.83,201,50.67,115,59.75,91,,,201,0.201
40.18,187,52.09,120,63.64,94,,,187,0.187
41.86,174,54.54,134,66.85,89,,,174,0.174
42.85,169,57.86,153,71.51,78,,,169,0.169
46.87,163,60.02,160,78.01,72,,,163,0.163
49.91,175,62.91,163,,,,,175,0.175
52.67,192,66.21,160,,,,,192,0.192
56.51,219,72.19,154,,,,,219,0.219
59.09,231,77.99,160,,,,,231,0.231
62.12,237,,,,,,,237,0.237
70.86,240,,,,,,,240,0.24
73.85,248,,,,,,,248,0.248
78.03,261,,,,,,,261,0.261
