t (s),V (mV),ln(U)
0,20.4984,3.02034683431791
1.001,20.3734,3.01423012843611
2.002,20.2517,3.00823874064618
3.003,20.1301,3.00221620734925
4.004,20.0087,2.99616717896892
5.005,19.8886,2.99014670325938
6.006,19.769,2.9841150542138
7.007,19.651,2.97812822760563
8.008,19.5342,2.97216677553128
9.009,19.4184,2.9662210701796
10.01,19.3022,2.96021907905182
11.011,19.1876,2.95426423706022
12.012,19.0738,2.94831566562413
13.013,18.9616,2.94241588145205
14.014,18.8502,2.93652352391731
15.015,18.7395,2.93063359555786
16.016,18.6295,2.9247463458207
17.017,18.5208,2.91889442482937
18.018,18.4126,2.91303521286701
19.02,18.3046,2.90715239438042
20.021,18.1972,2.90126773609337
21.022,18.09,2.8953592994072
22.023,17.9836,2.88946023147104
23.024,17.8767,2.88349818895299
24.025,17.7702,2.87752289702725
25.026,17.6631,2.87147771770968
26.027,17.5589,2.86556094387584
27.028,17.4561,2.85968915776358
28.029,17.3532,2.85377692742661
29.03,17.2503,2.84782953463049
30,17.1515,2.84208563334409
31.001,17.0502,2.83616193386601
32.002,16.9506,2.83030323143005
33.003,16.851,2.82441000221841
34.004,16.7517,2.81849974565837
35.005,16.6536,2.81262640927131
36.006,16.5554,2.80671233259194
37.007,16.4583,2.80082990923467
38.008,16.3617,2.79494323775656
39.009,16.2647,2.78899711524246
40.01,16.1693,2.78311438260868
41.011,16.0749,2.77725904926452
42.012,15.9799,2.77133168249627
43.013,15.886,2.76543821821094
44.014,15.7933,2.75958579946511
45.015,15.7005,2.75369255898091
46.016,15.6077,2.74776438222373
47.017,15.5168,2.7419233079289
48.018,15.4257,2.73603494963697
49.019,15.3363,2.73022256736735
50.02,15.246,2.72431717356608
51.021,15.1569,2.71845587381609
52.022,15.0683,2.7125931993741
53.023,14.9799,2.70670930249937
54.024,14.8923,2.70084430085188
55.025,14.8055,2.69499873335748
56.026,14.7188,2.68912558823852
57.027,14.6325,2.68324508218324
58.028,14.5455,2.67728166743057
59.029,14.4577,2.67122714460491
60.03,14.3713,2.66523316224824
61,14.2887,2.65946901509532
62.001,14.205,2.65359401530615
63.002,14.1214,2.64769137729169
64.003,14.038,2.64176793830823
65.004,13.9546,2.63580920301603
66.005,13.8726,2.62991567169797
67.006,13.7904,2.623972697911
68.007,13.7088,2.61803796239118
69.008,13.628,2.61212649979872
70.009,13.5477,2.60621679122054
71.01,13.4678,2.60030165117372
72.011,13.3876,2.5943289054005
73.012,13.3091,2.58844801178872
74.013,13.2307,2.58253988678009
75.014,13.1522,2.57658904501085
76.015,13.0744,2.57065611979671
77.016,12.9971,2.5647262556531
78.017,12.9204,2.55880745762753
79.018,12.8446,2.55292348955537
80.019,12.7689,2.54701252694504
81.02,12.6939,2.54112156311573
82.021,12.6188,2.53518776542876
83.022,12.5441,2.52925043551505
84.023,12.4699,2.5233177404136
85.024,12.3963,2.51739804098793
86.025,12.3231,2.51147554983014
87.026,12.2505,2.5055667524843
88.027,12.1781,2.49963925668165
